         name          |        team        |  art   |  arc  | n  
 Sarah Fink            | Morehead St.       | 568.11 | 20.50 |  9
 Cierra Terrizzi       | Akron              | 567.90 | 23.40 | 10
 Hayley Carroll        | Ole Miss           | 567.82 | 22.43 | 11
 Rachel Benesh         | Nevada             | 567.75 | 16.00 |  8
 Nash Richardson       | Navy               | 567.75 | 16.00 |  8
 Robert Scott          | Alaska Fairbanks   | 567.64 | 22.29 | 11
 Alexa Potts           | Morehead St.       | 567.60 | 18.00 | 10
 Spencer Brandon       | Air Force          | 567.58 | 24.00 | 12
 Makennon Doran        | Memphis            | 567.29 | 14.50 |  7
 Connor O'Mara         | Akron              | 567.20 | 22.00 | 10
 Alana Kelly           | Ole Miss           | 567.17 | 21.50 | 12
 Grace Nelson          | Alaska Fairbanks   | 567.17 | 20.80 |  6
 Dan Hall              | Morehead St.       | 566.90 | 21.00 | 10
 Haley Wilson          | Morehead St.       | 566.83 | 19.00 |  6
 Leighton Dempster     | Memphis            | 566.83 | 19.25 | 12
 Sarah Schnupp         | USciences          | 566.78 |       |  9
 Jenna Bethea          | Kentucky           | 566.56 | 23.00 |  9
 Hannah Virga          | Nebraska           | 566.50 | 19.00 |  4
 Eric Sloan            | Murray St.         | 566.40 | 20.50 |  5
 Kestrel Kuhne         | Navy               | 566.22 | 23.00 |  9
 Nathan Taylor         | Alaska Fairbanks   | 566.20 | 21.20 |  5
 Austin Cock           | Jacksonville St.   | 566.11 | 24.00 |  9
 Randi Loudin          | Ole Miss           | 565.67 | 23.20 |  9
 Kristyn Trump         | Ole Miss           | 565.40 | 22.17 | 10
 Marina Noble          | Ole Miss           | 565.00 | 21.50 |  5
 Ethan Cook            | Army               | 565.00 | 21.38 |  9
 Katie Bridges         | TCU                | 565.00 |       |  5
 Amberlie Ezell        | Memphis            | 564.67 | 21.00 |  9
 Jesse Moyer           | Morehead St.       | 564.57 | 19.00 |  7
 Maddy Erikson         | Army               | 564.50 | 22.00 | 10
 Bailey Powell         | UTEP               | 564.50 | 15.00 | 10
 Bailey Urbach         | Ohio State         | 564.20 | 18.50 |  5
 Jillian Tyler         | Ole Miss           | 564.09 | 17.86 | 11
 Eli Rischling         | Memphis            | 564.08 | 21.33 | 12
 Tobin Sanctuary       | North Georgia      | 564.00 | 18.50 | 12
 Derya Pekari          | North Carolina St. | 563.91 | 19.14 | 11
 Libby Mostert         | Army               | 563.75 | 20.50 |  8
 Jennifer Plocinik     | UT Martin (W)      | 563.70 | 14.00 | 10
 Ian Foos              | Kentucky           | 563.50 | 19.00 |  8
 Jared Rice            | North Georgia      | 563.29 | 17.00 |  7
 Brigitte Curcio       | UT Martin          | 563.10 | 21.33 | 10
 Haylee Schoenrock     | UTEP               | 563.00 |       |  9
 Mike Garner           | Army               | 562.73 | 20.38 | 11
 Andrew Solomonides    | Army               | 562.38 | 18.00 |  8
 Kyle Ordille          | Jacksonville St.   | 562.25 |       |  4
 Karly Potts           | Morehead St.       | 562.11 | 21.00 |  9
 Jack Anderson         | West Virginia      | 562.00 | 20.00 | 11
 Abby Monique          | UTEP               | 561.90 | 16.00 | 10
 Morgan Duerr          | Kentucky           | 561.89 | 18.00 |  9
 Zach Eisenberg        | North Carolina St. | 561.89 | 19.20 |  9
 Joshua Kovach         | Akron              | 561.80 | 13.50 |  5
 Alex Tamboli          | UT Martin          | 561.20 | 11.50 | 10
 Carleigh Peters       | Jacksonville St.   | 561.00 |       |  4
 Mara Rouse            | UTEP               | 560.78 | 19.00 |  9
 Alexandria Harrington | Coast Guard        | 560.63 |       |  8
 Chrissy Thomas        | Ohio State         | 560.25 | 19.00 |  4
 Alyson Sylvester      | UT Martin (W)      | 560.00 | 15.33 | 10
 Maggie Ehmann         | Army               | 559.86 | 16.71 |  7
 Andrew Abernathy      | North Georgia      | 559.67 | 15.00 |  9
 Emily Haag            | TCU                | 559.67 | 16.00 |  9
 Ashley Coots          | UT Martin (W)      | 559.30 | 18.67 | 10
 Nick Kanellis         | Army               | 559.13 | 18.75 |  8
 Andrew Hickey         | VMI                | 558.43 |       |  7
 Brianna Shaw          | North Georgia      | 558.29 | 13.50 |  7
 Hunter Behrends       | Jacksonville St.   | 558.25 |       |  4
 Claire Spina          | North Carolina St. | 558.20 | 15.50 |  5
 Brianna Sawyers       | UT Martin (W)      | 558.00 | 17.67 | 10
 Rhianna Lichtenthal   | Army               | 557.57 | 16.71 |  7
 Colton Poole          | Citadel            | 557.17 |       | 12
 Cierra Holcombe       | Wofford            | 556.80 | 24.00 |  5
 Sean Roehrs           | Akron              | 556.60 | 16.33 |  5
 Lily Graham           | John Jay           | 556.57 | 23.00 |  7
 Brandon Henson        | Jacksonville St.   | 556.50 |       |  2
 Maddie Korthas        | Nebraska           | 556.40 | 11.00 |  5
 Sarah Sutton          | Nebraska           | 556.00 | 19.67 |  7
 Maranda Nelson        | UTEP               | 555.88 | 17.00 |  8
 Samantha Sandifer     | Ole Miss           | 555.50 | 14.00 |  8
 Melanie West          | Morehead St.       | 555.38 | 20.00 |  8
 Andrew Miller         | Kentucky           | 555.25 |       |  4
 Sydney Goldschlag     | Akron              | 555.17 | 18.67 |  6
 Cullen Wargo          | North Carolina St. | 555.00 |       |  1
 Danielle Makucevich   | Akron              | 555.00 | 17.00 |  1
 Kera Kaufman          | Akron              | 554.67 | 18.00 |  6
 Zachary Johnson       | VMI                | 554.38 |       |  8
 Nicholle Benedict     | TCU                | 554.25 |       |  4
 Nicholas Paisker      | Coast Guard        | 554.18 | 12.00 | 11
 Katie Brown           | Nebraska           | 554.00 | 17.00 |  5
 Courtney Weekley      | Ga. Southern       | 553.14 | 16.00 |  7
 Selina Curren         | Alabama Birmingham | 553.00 |       |  2
 Rosemary Kramer       | Ga. Southern       | 552.71 | 13.00 |  7
 Maggie Guetersloh     | Navy               | 552.60 |       |  5
 Lucas Figi            | Navy               | 552.50 | 21.50 |  2
 Lilly Vonderau        | Alabama Birmingham | 552.00 | 18.00 |  1
 David Turner          | North Georgia      | 551.75 | 16.50 |  8
 Lindsey Flint         | UT Martin (W)      | 551.63 | 15.00 |  8
 Logan Hunt            | UT Martin          | 551.50 |  9.00 |  8
 Nick Reynolds         | VMI                | 550.50 |       |  8
 Tori Lewis            | Ga. Southern       | 550.00 | 14.00 |  7
 Lauryn Cinadr         | Akron              | 549.67 | 13.50 |  6
 Abby Votava           | Memphis            | 549.00 |  9.50 |  9
 Alex Bapties          | UT Martin          | 548.71 | 13.00 |  7
 Alice Chiu            | VMI (W)            | 548.40 |       |  5
 Samantha Alexander    | VMI (W)            | 548.38 |       |  8
 Siarra Crum           | Morehead St.       | 548.38 | 14.00 |  8
 William Davidson      | VMI                | 548.00 |       |  5
 Alexander McAlear     | Citadel            | 547.75 |       | 12
 Tyler Lefebvre        | North Carolina St. | 547.67 | 15.00 |  6
 Alex Fedorko          | Akron              | 546.83 | 14.25 |  6
 Mathew Lusardi        | VMI                | 546.83 |       |  6
 Anika Corsi           | Jacksonville St.   | 546.50 |       |  2
 Morgan Long           | Citadel            | 546.40 |       | 10
 Rebecca Green         | Akron              | 546.33 | 14.75 |  6
 Allison Auten         | Citadel            | 546.08 |       | 12
 John Pitman           | VMI                | 545.71 |       |  7
 Lucas Gilliland       | North Georgia      | 545.30 | 14.50 | 10
 George Williams       | North Carolina St. | 545.00 | 15.00 |  3
 Andre Delcalzo        | UT Martin          | 544.88 | 14.00 |  8
 Andrew Visconti       | USciences          | 544.11 |       |  9
 Dylan Lorence         | Coast Guard        | 543.75 | 12.00 |  8
 Randall Ford          | Coast Guard        | 543.31 | 17.50 | 13
 Jacob Hunter          | VMI                | 542.80 |       |  5
 Marlee Reynolds       | Akron              | 542.00 | 17.50 |  2
 Kathryn Youngblood    | Ga. Southern       | 541.50 |       |  2
 Patrick Sardo         | Ohio State         | 541.00 |       |  3
 Loyce Lightfoot       | VMI (W)            | 540.50 |       |  8
 Patrick Meyer         | Citadel            | 540.44 |       |  9
 Amanda Mayo           | UT Martin (W)      | 540.20 | 15.00 |  5
 Katherine Watson      | VMI (W)            | 538.38 |       |  8
 Richie Parra          | Citadel            | 538.00 |       | 10
 Kelly Mathesius       | MIT                | 536.78 | 11.00 |  9
 Kris Mantel           | Akron              | 536.00 | 13.50 |  3
 Matthew Davenport     | Citadel            | 534.57 |       |  7
 Chris Milliken        | VMI                | 533.67 |       |  3
 Kyle Cox              | Air Force          | 533.00 |       |  2
 Faith Totherow        | Citadel (W)        | 531.18 |       | 11
 Rachel Jankelow       | VMI (W)            | 530.17 |       |  6
 Angelica Dearaujo     | John Jay           | 529.71 |  8.00 |  7
 Jacob Dupree          | Coast Guard        | 529.54 |  9.50 | 13
 Nick Zsoldos          | USciences          | 529.44 |       |  9
 Lydia Odlin           | Ga. Southern       | 529.17 | 10.00 |  6
 Brandon Pippin        | Navy               | 527.00 |       |  1
 Kevin Ng              | MIT                | 526.80 |  8.00 |  5
 Nicholas Hunter       | Wofford            | 526.80 |  6.00 |  5
 Chastity Price        | Ga. Southern       | 525.00 |  7.00 |  6
 Marshall Grant        | Coast Guard        | 524.91 | 12.00 | 11
 Ellana Avery          | VMI (W)            | 522.83 |       |  6
 Joseph Ferguson       | Citadel            | 522.29 |       |  7
 Matt Popowicz         | USciences          | 520.33 |       |  9
 Angela Kang           | USciences          | 519.89 |       |  9
 Seth Flanagan         | Wofford            | 519.60 |  8.00 |  5
 Nyjah Turner          | Coast Guard        | 519.40 |  6.50 |  5
 Melissa Brizzi        | Coast Guard        | 519.11 |  9.00 |  9
 Dylan Modesitt        | MIT                | 519.00 |       |  6
 Rachel Hubal          | USciences          | 517.43 |       |  7
 Leah Fenwrick-Wallace | Citadel (W)        | 517.09 |       | 11
 Gavin Asbury          | VMI                | 514.00 |       |  1
 Carli Cline           | Citadel (W)        | 512.78 |       |  9
 Gregory Lee           | MIT                | 512.50 |  8.00 |  4
 Allie Tuman           | USciences          | 511.14 |       |  7
 Tommy Simrill         | Citadel            | 511.13 |       |  8
 Jennifer Middlebrook  | Ga. Southern       | 510.00 |       |  2
 Raven Wills           | Citadel (W)        | 505.25 |       |  8
 Kelia Aardema         | VMI (W)            | 503.00 |       |  2
 Brandi Duzz           | Citadel (W)        | 502.91 |       | 11
 George Conde          | John Jay           | 502.00 |       |  1
 Zachry Hunter         | Wofford            | 500.50 |       |  2
 Kerrie Lightfoot      | VMI (W)            | 499.25 |       |  4
 Andrej Quatrone       | USciences          | 498.83 |       |  6
 Jesus Herrera         | MIT                | 498.33 |       |  6
 William Caruso        | MIT                | 497.88 |  4.50 |  8
 Shadonna Littlejohn   | Citadel (W)        | 497.63 |       |  8
 Reid Schuster         | Wofford            | 497.00 |  3.00 |  4
 Ida Sato              | John Jay           | 495.57 |  7.00 |  7
 David Rose            | Coast Guard        | 487.33 |  6.50 |  6
 Alexander Laiman      | MIT                | 486.50 |       |  2
 Ronald Kopec          | John Jay           | 483.00 |       |  7
 Thomas Rick           | MIT                | 480.25 |  5.00 |  8
 Kevin Petrovic        | MIT                | 474.33 |       |  3
 Alex Pacheco          | MIT                | 474.00 |  6.00 |  7
 Joel Solis            | MIT                | 466.67 |       |  3
 Marc Suda             | John Jay           | 466.38 |  9.00 |  8
 Tierra Price          | Citadel (W)        | 462.88 |       |  8
 Lauren Stabler        | USciences          | 461.60 |       |  5
 Susana Sanchez        | John Jay           | 456.33 |  3.00 |  6
 Elijah Miller         | MIT                | 442.40 |  3.00 |  5
 Efraim Helman         | MIT                | 439.00 |  2.00 |  1
 Chris Makosiej        | USciences          | 437.75 |       |  4
 Nick Makosiej         | USciences          | 416.67 |       |  3
 Anita Varkey          | USciences          | 412.67 |       |  3
 Brittany Mahoney      | USciences          | 411.67 |       |  3
 Christina Tipton      | USciences          | 410.33 |       |  3
 Yaakov Helman         | MIT                | 395.00 |  2.00 |  1
 Thomas Nelligan       | USciences          | 236.00 |       |  1
(304 rows)

