         name          |   type    | position |  avg  
 Faith Totherow        | smallbore | prone    | 93.86
 Rachel Jankelow       | smallbore | prone    | 93.83
 Rebecca Green         | smallbore | prone    | 93.75
 Danielle Makucevich   | smallbore | prone    | 93.50
 Richie Parra          | smallbore | prone    | 93.45
 Nicholas Hunter       | smallbore | prone    | 93.40
 Matt Popowicz         | smallbore | prone    | 93.39
 Matthew Davenport     | smallbore | prone    | 93.36
 Loyce Lightfoot       | smallbore | prone    | 93.31
 Jacob Dupree          | smallbore | prone    | 93.27
 Rachel Hubal          | smallbore | prone    | 93.14
 Joseph Ferguson       | smallbore | prone    | 93.07
 Brandi Duzz           | smallbore | prone    | 93.05
 Brandon Pippin        | smallbore | prone    | 93.00
 Dylan Modesitt        | smallbore | prone    | 92.83
 Marc Suda             | smallbore | prone    | 92.79
 Carli Cline           | smallbore | prone    | 92.56
 Chastity Price        | smallbore | prone    | 92.25
 Alexander Laiman      | smallbore | prone    | 92.25
 Kelia Aardema         | smallbore | prone    | 92.00
 Nick Zsoldos          | smallbore | prone    | 91.89
 Angelica Dearaujo     | smallbore | prone    | 91.79
 Leah Fenwrick-Wallace | smallbore | prone    | 91.73
 Allie Tuman           | smallbore | prone    | 91.50
 Angela Kang           | smallbore | prone    | 91.11
 Nyjah Turner          | smallbore | prone    | 90.90
 Kevin Petrovic        | smallbore | prone    | 90.83
 Jennifer Middlebrook  | smallbore | prone    | 90.75
 David Rose            | smallbore | prone    | 90.67
 Raven Wills           | smallbore | prone    | 90.06
 Shadonna Littlejohn   | smallbore | prone    | 90.00
 Andrej Quatrone       | smallbore | prone    | 90.00
 Efraim Helman         | smallbore | prone    | 90.00
 Reid Schuster         | smallbore | prone    | 89.75
 Gregory Lee           | smallbore | prone    | 89.63
 Seth Flanagan         | smallbore | prone    | 89.60
 Zachry Hunter         | smallbore | prone    | 89.50
 Jesus Herrera         | smallbore | prone    | 89.42
 Thomas Rick           | smallbore | prone    | 89.19
 Alex Pacheco          | smallbore | prone    | 88.86
 Joel Solis            | smallbore | prone    | 88.17
 Kerrie Lightfoot      | smallbore | prone    | 87.75
 Ida Sato              | smallbore | prone    | 87.21
 George Conde          | smallbore | prone    | 87.00
 Tierra Price          | smallbore | prone    | 86.69
 William Caruso        | smallbore | prone    | 85.44
 Lauren Stabler        | smallbore | prone    | 85.40
 Anita Varkey          | smallbore | prone    | 85.33
 Christina Tipton      | smallbore | prone    | 83.67
 Brittany Mahoney      | smallbore | prone    | 83.50
 Chris Makosiej        | smallbore | prone    | 82.13
 Elijah Miller         | smallbore | prone    | 80.90
 Susana Sanchez        | smallbore | prone    | 79.50
 Nick Makosiej         | smallbore | prone    | 79.33
 Yaakov Helman         | smallbore | prone    | 71.50
 Thomas Nelligan       | smallbore | prone    | 59.50
 Ginny Thrasher        | smallbore | standing | 97.60
 Mindy Miles           | smallbore | standing | 97.14
 Ivan Roe              | smallbore | standing | 96.85
 Casey Lutz            | smallbore | standing | 96.71
 Milica Babic          | smallbore | standing | 96.50
 Lauren Phillips       | smallbore | standing | 96.04
 Jean-Pierre Lucas     | smallbore | standing | 96.00
 Morgan Phillips       | smallbore | standing | 95.92
 Elizabeth Gratz       | smallbore | standing | 95.92
 Drew Cheezum          | smallbore | standing | 95.87
 Sagen Maddalena       | smallbore | standing | 95.73
 Hanna Carr            | smallbore | standing | 95.71
 Mackenzie Martin      | smallbore | standing | 95.55
 Ben Estes             | smallbore | standing | 95.55
 Mitchell Van Patten   | smallbore | standing | 95.50
 Soren Butler          | smallbore | standing | 95.32
 Will Anti             | smallbore | standing | 95.29
 Ryan Jacobs           | smallbore | standing | 95.21
 Lucas Kozeniesky      | smallbore | standing | 95.04
 Rachel Garner         | smallbore | standing | 95.04
 Ariana Grabowski      | smallbore | standing | 95.04
 Sally Li              | smallbore | standing | 95.00
 Anna Weilbacher       | smallbore | standing | 94.92
 Luke Johnson          | smallbore | standing | 94.91
 Sonya May             | smallbore | standing | 94.88
 Alathea Sellars       | smallbore | standing | 94.81
 Marvin Lewis          | smallbore | standing | 94.77
 Daniel Jonas          | smallbore | standing | 94.75
 Spencer Cap           | smallbore | standing | 94.71
 Kaitlin Korinek       | smallbore | standing | 94.70
 Amy Fister            | smallbore | standing | 94.68
 Harley Gardner        | smallbore | standing | 94.67
 Meike Drewell         | smallbore | standing | 94.67
 Billy Azzinaro        | smallbore | standing | 94.67
 Mark Matheny          | smallbore | standing | 94.60
 Dacotah Faught        | smallbore | standing | 94.54
 Ali Weisz             | smallbore | standing | 94.54
 Nicole Hankey         | smallbore | standing | 94.46
 Cathryn Papasodora    | smallbore | standing | 94.40
 Barbara Schlapfer     | smallbore | standing | 94.28
 Bobby Broadstreet     | smallbore | standing | 94.23
 Samantha Peterson     | smallbore | standing | 94.21
 Brandon Muske         | smallbore | standing | 94.15
 Heather Kirby         | smallbore | standing | 94.13
 Rhiann Travis         | smallbore | standing | 94.13
 Sarah Jameson         | smallbore | standing | 94.10
 Rachel Martin         | smallbore | standing | 94.08
 Caitlyn Ford          | smallbore | standing | 94.08
 Nathan Brewer         | smallbore | standing | 94.00
 Josh Black            | smallbore | standing | 93.90
 Danielle Cuomo        | smallbore | standing | 93.86
 Logan Ogden           | smallbore | standing | 93.83
 Zach Schmidt          | smallbore | standing | 93.79
 Jaycee Carter         | smallbore | standing | 93.75
 Joe Martin            | smallbore | standing | 93.75
 Jason Spaude          | smallbore | standing | 93.67
 Thomas Sarant         | smallbore | standing | 93.65
 Amy Hammer            | smallbore | standing | 93.60
 Rachael Schoenrock    | smallbore | standing | 93.55
 Jess Haig             | smallbore | standing | 93.54
 Michael Steinel       | smallbore | standing | 93.53
 Payne Nunn            | smallbore | standing | 93.50
 Carter Santrock       | smallbore | standing | 93.46
 Alli Kissell          | smallbore | standing | 93.40
 David Sink            | smallbore | standing | 93.38
 Amy Gentry            | smallbore | standing | 93.36
 Catherine Miller      | smallbore | standing | 93.32
 Haylea Broughton      | smallbore | standing | 93.25
 Jacob Buchanan        | smallbore | standing | 93.25
 Levi Clark            | smallbore | standing | 93.23
 Dakota Spivey         | smallbore | standing | 93.21
 Eli Larimer           | smallbore | standing | 93.20
 Emily Capaul          | smallbore | standing | 93.20
 Mekenna Richardson    | smallbore | standing | 93.19
 JT Schnering          | smallbore | standing | 93.18
 Jason Scharbel        | smallbore | standing | 93.13
 Rachel Benesh         | smallbore | standing | 93.13
 Quintin Wotring       | smallbore | standing | 93.06
 Jordan Miller         | smallbore | standing | 93.00
 Nathan Taylor         | smallbore | standing | 93.00
 Ian Foos              | smallbore | standing | 93.00
 Jack Anderson         | smallbore | standing | 92.91
 Joshua Kovach         | smallbore | standing | 92.90
 Anthony Cuozzo        | smallbore | standing | 92.88
 Robert Scott          | smallbore | standing | 92.86
 Claire Zanti          | smallbore | standing | 92.86
 Will Marciniak        | smallbore | standing | 92.81
 Barrett Ray           | smallbore | standing | 92.77
 Haley Wilson          | smallbore | standing | 92.75
 Alex Muzzioli         | smallbore | standing | 92.60
 Claire Spina          | smallbore | standing | 92.60
 Kayla Gadeken         | smallbore | standing | 92.60
 Allen Solida          | smallbore | standing | 92.56
 Julia Hatch           | smallbore | standing | 92.55
 Nina Radulovic        | smallbore | standing | 92.54
 Sarah Hickey          | smallbore | standing | 92.50
 Maddy Erikson         | smallbore | standing | 92.50
 Anthony Jackson       | smallbore | standing | 92.50
 Zach Strohl           | smallbore | standing | 92.45
 Carmen Fry            | smallbore | standing | 92.44
 Emiliano Concha-Toro  | smallbore | standing | 92.44
 Shelby Huber          | smallbore | standing | 92.42
 Connor O'Mara         | smallbore | standing | 92.40
 Josh Watson           | smallbore | standing | 92.40
 Jenna Bethea          | smallbore | standing | 92.33
 Nick Learn            | smallbore | standing | 92.33
 Alexandria Harrington | smallbore | standing | 92.31
 Ruthanne Conner       | smallbore | standing | 92.29
 Spencer Brandon       | smallbore | standing | 92.29
 Grace Nelson          | smallbore | standing | 92.25
 Jack Berhorst         | smallbore | standing | 92.25
 Haylee Schoenrock     | smallbore | standing | 92.22
 Brandon Bryer         | smallbore | standing | 92.10
 Rachel Kimbell        | smallbore | standing | 92.09
 Leighton Dempster     | smallbore | standing | 92.08
 Rachel Yager          | smallbore | standing | 92.06
 Cierra Terrizzi       | smallbore | standing | 91.95
 Justin Nissen         | smallbore | standing | 91.95
 Amberlie Ezell        | smallbore | standing | 91.94
 Hayley Carroll        | smallbore | standing | 91.91
 Jillian Tyler         | smallbore | standing | 91.91
 Liam Eberhart         | smallbore | standing | 91.90
 Sarah Schnupp         | smallbore | standing | 91.89
 Jared Rice            | smallbore | standing | 91.86
 Caleb Lloyd           | smallbore | standing | 91.85
 Brigitte Curcio       | smallbore | standing | 91.85
 Trace Haynes          | smallbore | standing | 91.83
 Sarah Fink            | smallbore | standing | 91.78
 Maddie Korthas        | smallbore | standing | 91.60
 Seth Baker            | smallbore | standing | 91.60
 Marina Noble          | smallbore | standing | 91.60
 Kestrel Kuhne         | smallbore | standing | 91.56
 Makennon Doran        | smallbore | standing | 91.50
 Eric Sloan            | smallbore | standing | 91.50
 Zach Eisenberg        | smallbore | standing | 91.44
 Jesse Moyer           | smallbore | standing | 91.43
 Alexa Potts           | smallbore | standing | 91.40
 Libby Mostert         | smallbore | standing | 91.38
 Nick Kanellis         | smallbore | standing | 91.38
 Hannah Virga          | smallbore | standing | 91.38
 Alana Kelly           | smallbore | standing | 91.25
 Kyle Ordille          | smallbore | standing | 91.25
 Brianna Shaw          | smallbore | standing | 91.21
 Randi Loudin          | smallbore | standing | 91.17
 Chrissy Thomas        | smallbore | standing | 91.13
 Nash Richardson       | smallbore | standing | 91.13
 Brendan Whitaker      | smallbore | standing | 91.13
 Alyson Sylvester      | smallbore | standing | 91.10
 Danielle Makucevich   | smallbore | standing | 91.00
 Rhianna Lichtenthal   | smallbore | standing | 91.00
 Ethan Cook            | smallbore | standing | 90.89
 Austin Cock           | smallbore | standing | 90.83
 Andrew Solomonides    | smallbore | standing | 90.75
 Derya Pekari          | smallbore | standing | 90.68
 Colton Poole          | smallbore | standing | 90.67
 Kristyn Trump         | smallbore | standing | 90.65
 Courtney Weekley      | smallbore | standing | 90.64
 Kendal Elder          | smallbore | standing | 90.63
 Maggie Ehmann         | smallbore | standing | 90.57
 Garrett Rabel         | smallbore | standing | 90.55
 Siarra Crum           | smallbore | standing | 90.50
 Bailey Urbach         | smallbore | standing | 90.50
 Bailey Powell         | smallbore | standing | 90.50
 Jennifer Plocinik     | smallbore | standing | 90.45
 Abby Votava           | smallbore | standing | 90.33
 Carleigh Peters       | smallbore | standing | 90.25
 Brandon Henson        | smallbore | standing | 90.25
 Alex Tamboli          | smallbore | standing | 90.15
 Andrew Abernathy      | smallbore | standing | 90.11
 Allison Auten         | smallbore | standing | 90.08
 Karly Potts           | smallbore | standing | 89.89
 Tyler Ramos           | smallbore | standing | 89.79
 Mara Rouse            | smallbore | standing | 89.78
 Mike Garner           | smallbore | standing | 89.77
 Tobin Sanctuary       | smallbore | standing | 89.75
 Joe Fischer           | smallbore | standing | 89.75
 Eli Rischling         | smallbore | standing | 89.75
 Tyler Lefebvre        | smallbore | standing | 89.75
 Morgan Duerr          | smallbore | standing | 89.67
 Brianna Sawyers       | smallbore | standing | 89.60
 Nicholas Paisker      | smallbore | standing | 89.55
 Selina Curren         | smallbore | standing | 89.50
 Cullen Wargo          | smallbore | standing | 89.50
 Cierra Holcombe       | smallbore | standing | 89.50
 Dan Hall              | smallbore | standing | 89.40
 Abby Monique          | smallbore | standing | 89.40
 Maranda Nelson        | smallbore | standing | 89.38
 Morgan Long           | smallbore | standing | 89.35
 Andrew Hickey         | smallbore | standing | 89.29
 Kera Kaufman          | smallbore | standing | 89.25
 Deanna Binnie         | smallbore | standing | 89.20
 Hunter Behrends       | smallbore | standing | 89.13
 Lauryn Cinadr         | smallbore | standing | 89.00
 Lilly Vonderau        | smallbore | standing | 89.00
 Nicholle Benedict     | smallbore | standing | 89.00
 Ashley Coots          | smallbore | standing | 89.00
 Zachary Johnson       | smallbore | standing | 89.00
 Tori Lewis            | smallbore | standing | 88.93
 Lily Graham           | smallbore | standing | 88.86
 Sarah Sutton          | smallbore | standing | 88.86
 Samantha Alexander    | smallbore | standing | 88.81
 Andrew Miller         | smallbore | standing | 88.75
 Samantha Sandifer     | smallbore | standing | 88.75
 Katie Brown           | smallbore | standing | 88.70
 Sean Roehrs           | smallbore | standing | 88.60
 Maggie Guetersloh     | smallbore | standing | 88.50
 Emily Haag            | smallbore | standing | 88.39
 Logan Hunt            | smallbore | standing | 88.38
 Katie Bridges         | smallbore | standing | 88.20
 Lindsey Flint         | smallbore | standing | 88.13
 Rebecca Green         | smallbore | standing | 88.08
 Angelica Dearaujo     | smallbore | standing | 88.00
 Melanie West          | smallbore | standing | 87.94
 William Davidson      | smallbore | standing | 87.80
 Rosemary Kramer       | smallbore | standing | 87.79
 Jacob Hunter          | smallbore | standing | 87.70
 Katherine Watson      | smallbore | standing | 87.69
 David Turner          | smallbore | standing | 87.44
 Loyce Lightfoot       | smallbore | standing | 87.44
 Sydney Goldschlag     | smallbore | standing | 87.17
 Nick Reynolds         | smallbore | standing | 87.00
 Richie Parra          | smallbore | standing | 86.95
 Matthew Davenport     | smallbore | standing | 86.86
 Alice Chiu            | smallbore | standing | 86.80
 Alexander McAlear     | smallbore | standing | 86.79
 Randall Ford          | smallbore | standing | 86.77
 Anika Corsi           | smallbore | standing | 86.75
 Alex Fedorko          | smallbore | standing | 86.50
 Andre Delcalzo        | smallbore | standing | 86.50
 George Williams       | smallbore | standing | 86.33
 Lucas Gilliland       | smallbore | standing | 86.10
 Mathew Lusardi        | smallbore | standing | 86.00
 Alex Bapties          | smallbore | standing | 85.86
 Marlee Reynolds       | smallbore | standing | 85.75
 Kelly Mathesius       | smallbore | standing | 85.56
 Lucas Figi            | smallbore | standing | 85.25
 John Pitman           | smallbore | standing | 85.14
 Ronald Kopec          | smallbore | standing | 85.08
 Nicholas Hunter       | smallbore | standing | 85.00
 Kathryn Youngblood    | smallbore | standing | 85.00
 Kyle Cox              | smallbore | standing | 84.75
 Andrew Visconti       | smallbore | standing | 84.50
 Patrick Sardo         | smallbore | standing | 84.33
 Patrick Meyer         | smallbore | standing | 83.72
 Dylan Lorence         | smallbore | standing | 83.63
 Rachel Jankelow       | smallbore | standing | 83.58
 Brandon Pippin        | smallbore | standing | 83.50
 Seth Flanagan         | smallbore | standing | 83.40
 Kris Mantel           | smallbore | standing | 83.33
 Chastity Price        | smallbore | standing | 83.00
 Chris Milliken        | smallbore | standing | 82.83
 Angela Kang           | smallbore | standing | 82.72
 Joseph Ferguson       | smallbore | standing | 82.71
 Faith Totherow        | smallbore | standing | 82.55
 Amanda Mayo           | smallbore | standing | 82.30
 Marshall Grant        | smallbore | standing | 82.14
 Kerrie Lightfoot      | smallbore | standing | 82.13
 Leah Fenwrick-Wallace | smallbore | standing | 81.95
 Nick Zsoldos          | smallbore | standing | 81.78
 Rachel Hubal          | smallbore | standing | 81.50
 Gregory Lee           | smallbore | standing | 81.38
 Jacob Dupree          | smallbore | standing | 81.19
 Matt Popowicz         | smallbore | standing | 80.67
 George Conde          | smallbore | standing | 80.50
 Nyjah Turner          | smallbore | standing | 80.40
 Jennifer Middlebrook  | smallbore | standing | 79.75
 William Caruso        | smallbore | standing | 79.69
 Lydia Odlin           | smallbore | standing | 79.67
 Ida Sato              | smallbore | standing | 79.64
 Gavin Asbury          | smallbore | standing | 79.00
 Dylan Modesitt        | smallbore | standing | 79.00
 Kevin Ng              | smallbore | standing | 78.90
 Marc Suda             | smallbore | standing | 78.43
 Allie Tuman           | smallbore | standing | 78.29
 Raven Wills           | smallbore | standing | 78.25
 Carli Cline           | smallbore | standing | 77.56
 Ellana Avery          | smallbore | standing | 76.92
 Melissa Brizzi        | smallbore | standing | 76.78
 Lauren Stabler        | smallbore | standing | 76.50
 Zachry Hunter         | smallbore | standing | 76.50
 Reid Schuster         | smallbore | standing | 75.63
 Brandi Duzz           | smallbore | standing | 75.55
 Susana Sanchez        | smallbore | standing | 74.67
 Tommy Simrill         | smallbore | standing | 74.50
 Alexander Laiman      | smallbore | standing | 73.25
 Jesus Herrera         | smallbore | standing | 73.00
 Andrej Quatrone       | smallbore | standing | 72.75
 Kelia Aardema         | smallbore | standing | 72.75
 Shadonna Littlejohn   | smallbore | standing | 72.38
 Thomas Rick           | smallbore | standing | 70.88
 David Rose            | smallbore | standing | 69.25
 Alex Pacheco          | smallbore | standing | 68.64
 Joel Solis            | smallbore | standing | 68.00
 Tierra Price          | smallbore | standing | 66.81
 Kevin Petrovic        | smallbore | standing | 65.67
 Elijah Miller         | smallbore | standing | 65.00
 Yaakov Helman         | smallbore | standing | 63.50
 Chris Makosiej        | smallbore | standing | 63.00
 Anita Varkey          | smallbore | standing | 59.67
 Nick Makosiej         | smallbore | standing | 59.50
 Efraim Helman         | smallbore | standing | 56.50
 Brittany Mahoney      | smallbore | standing | 55.83
 Christina Tipton      | smallbore | standing | 51.67
 Thomas Nelligan       | smallbore | standing | 28.00
(912 rows)

