Name	Team	Date*	Location	K1	K2	P1	P2	S1	S2	Total	SB Centers	A1	A2	A3	A4	A5	A6	Total	AR Centers
Randi Loudin	Ole Miss	Oct. 22, 2016	Ole Miss	93	95	99	99	90	87	563	16	92	96	95	93	88	94	558	20
Marina Noble	Ole Miss	Oct. 22, 2016	Ole Miss	96	95	97	100	96	93	577	28	0	0	0	0	0	0	0	0
Samantha Sandifer	Ole Miss	Oct. 22, 2016	Ole Miss	91	92	99	97	89	89	557	19	94	96	98	99	98	95	580	34
Kristyn Trump	Ole Miss	Oct. 22, 2016	Ole Miss	97	96	98	96	94	89	570	20	97	98	96	96	99	95	581	33
Jillian Tyler	Ole Miss	Oct. 22, 2016	Ole Miss	94	96	98	98	92	90	568	21	96	97	97	95	99	100	584	35
Ali Weisz	Ole Miss	Oct. 22, 2016	Ole Miss	88	94	99	100	96	91	568	21	98	98	99	98	99	98	590	44
Spencer Brandon	Air Force	Oct. 22, 2016	Air Force	93	93	100	99	92	92	569	0	96	99	99	98	96	98	586	0
Spencer Cap	Air Force	Oct. 22, 2016	Air Force	97	95	97	97	92	94	572	0	100	99	100	98	100	100	597	0
Kyle Cox	Air Force	Oct. 22, 2016	Air Force	86	90	97	96	88	86	543	0	95	96	95	95	91	93	565	0
Ryan Jacobs	Air Force	Oct. 22, 2016	Air Force	94	98	99	100	93	97	581	0	99	97	99	98	98	98	589	0
Noah Kwock	Air Force	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nick Learn	Air Force	Oct. 22, 2016	Air Force	95	96	99	98	89	95	572	0	96	99	99	97	98	100	589	0
Logan Ogden	Air Force	Oct. 22, 2016	Air Force	96	96	100	100	92	92	576	0	98	99	98	100	97	98	590	0
Mary Simonton	Air Force	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anna Weilbacher	Air Force	Oct. 22, 2016	Air Force	96	95	99	99	94	96	579	0	97	97	98	100	98	99	589	0
Rachel Benesh	Nevada	Oct. 22, 2016	Air Force	94	96	96	92	91	95	564	0	100	97	94	96	97	96	580	0
Emily Capaul	Nevada	Oct. 22, 2016	Air Force	94	94	99	99	93	93	572	0	98	94	99	98	97	97	583	0
Jared Crews	Nevada	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maneva Gill	Nevada	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarah Jameson	Nevada	Oct. 22, 2016	Air Force	92	95	97	97	91	97	569	0	100	97	98	99	99	97	590	0
Eli Larimer	Nevada	Oct. 22, 2016	Air Force	96	97	97	97	92	90	569	0	99	95	95	98	95	98	580	0
Justin Nissen	Nevada	Oct. 22, 2016	Air Force	98	94	99	97	92	92	572	0	97	96	99	98	99	98	587	0
Jami Sexton	Nevada	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sara Tashima	Nevada	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitchell Van Patten	Nevada	Oct. 22, 2016	Air Force	96	96	99	98	97	96	582	0	98	99	99	98	99	98	591	0
Jessica Kinder	UTEP	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	99	100	98	99	97	97	590	0
Abby Monique	UTEP	Oct. 22, 2016	Air Force	97	95	99	100	93	92	576	0	96	94	99	99	99	98	585	0
Maranda Nelson	UTEP	Oct. 22, 2016	Air Force	93	96	97	97	94	90	567	0	94	98	96	98	94	100	580	0
Bailey Powell	UTEP	Oct. 22, 2016	Air Force	96	95	98	98	91	91	569	0	98	95	97	97	99	97	583	0
Mara Rouse	UTEP	Oct. 22, 2016	Air Force	93	94	96	98	91	94	566	0	96	96	98	95	97	98	580	0
Rachael Schoenrock	UTEP	Oct. 22, 2016	Air Force	93	96	97	99	92	92	569	0	98	96	95	98	98	99	584	0
Haylee Schoenrock	UTEP	Oct. 22, 2016	Air Force	94	97	98	96	89	91	565	0	96	97	96	97	94	98	578	0
Monthserrat Serna	UTEP	Oct. 22, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allison Auten	Citadel	Oct. 22, 2016	North Georgia	87	91	93	98	91	89	549	0	93	92	95	93	99	99	571	0
Matthew Davenport	Citadel	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	93	92	93	96	96	91	561	0
Joseph Ferguson	Citadel	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morgan Long	Citadel	Oct. 22, 2016	North Georgia	85	93	98	97	92	89	554	0	99	93	96	97	97	98	580	0
Alexander McAlear	Citadel	Oct. 22, 2016	North Georgia	88	90	95	97	88	87	545	0	92	93	94	96	94	94	563	0
Patrick Meyer	Citadel	Oct. 22, 2016	North Georgia	92	91	96	96	81	83	539	0	0	0	0	0	0	0	0	0
Richie Parra	Citadel	Oct. 22, 2016	North Georgia	88	84	87	93	86	84	522	0	97	97	96	95	94	94	573	0
Colton Poole	Citadel	Oct. 22, 2016	North Georgia	90	93	95	92	90	86	546	0	95	95	94	97	96	92	569	0
Tommy Simrill	Citadel	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Andrew Abernathy	North Georgia	Oct. 22, 2016	North Georgia	92	92	99	91	94	97	565	0	94	93	96	92	97	94	566	0
Eric Azotea	North Georgia	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruthanne Conner	North Georgia	Oct. 22, 2016	North Georgia	93	93	99	99	95	89	568	0	97	96	95	97	98	98	581	0
Lucas Gilliland	North Georgia	Oct. 22, 2016	North Georgia	86	87	97	98	87	87	542	0	96	94	94	96	96	96	572	0
Maddie Godwin	North Georgia	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hannah Peevy	North Georgia	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jared Rice	North Georgia	Oct. 22, 2016	North Georgia	89	94	97	96	92	88	556	0	100	95	93	92	94	94	568	0
Tobin Sanctuary	North Georgia	Oct. 22, 2016	North Georgia	96	97	97	97	88	90	565	0	89	91	98	95	96	94	563	0
Brianna Shaw	North Georgia	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dakota Spivey	North Georgia	Oct. 22, 2016	North Georgia	96	96	94	97	87	92	562	0	99	100	97	98	100	100	594	0
David Turner	North Georgia	Oct. 22, 2016	North Georgia	90	92	97	97	85	86	547	0	93	96	97	98	95	98	577	0
Sarah Banks	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steven Bugg	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	90	88	93	94	88	86	539	0
Selina Curren	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lindsey Hill	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isaac King	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kristie Lloyd	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	93	94	91	88	90	82	538	0
Logan Short	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mallory Sisk	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micah Smith	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emily Stover	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	90	95	92	88	95	92	552	0
Ella Von Canon	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lilly Vonderau	Alabama Birmingham	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	98	96	96	96	94	99	579	0
Rosemary Kramer	Ga. Southern	Oct. 22, 2016	North Georgia	92	96	97	96	91	92	564	0	95	92	97	96	95	92	567	0
Tori Lewis	Ga. Southern	Oct. 22, 2016	North Georgia	89	88	97	94	91	92	551	0	95	98	93	97	93	98	574	0
Jennifer Middlebrook	Ga. Southern	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lydia Odlin	Ga. Southern	Oct. 22, 2016	North Georgia	89	87	94	93	82	79	524	0	94	89	94	87	91	96	551	0
Chastity Price	Ga. Southern	Oct. 22, 2016	North Georgia	91	84	86	94	83	84	522	0	92	93	92	92	91	93	553	0
Courtney Weekley	Ga. Southern	Oct. 22, 2016	North Georgia	89	89	97	96	93	90	554	0	98	94	100	97	96	95	580	0
Kathryn Youngblood	Ga. Southern	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carli Cline	Citadel (W)	Oct. 22, 2016	North Georgia	79	80	93	89	63	81	485	0	0	0	0	0	0	0	0	0
Brandi Duzz	Citadel (W)	Oct. 22, 2016	North Georgia	78	73	93	95	78	83	500	0	90	89	89	90	90	91	539	0
Leah Fenwrick-Wallace	Citadel (W)	Oct. 22, 2016	North Georgia	90	88	92	95	82	84	531	0	95	93	93	92	95	95	563	0
Shadonna Littlejohn	Citadel (W)	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	91	88	84	88	84	86	521	0
Tierra Price	Citadel (W)	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faith Totherow	Citadel (W)	Oct. 22, 2016	North Georgia	87	95	94	96	82	91	545	0	85	88	90	86	81	87	517	0
Raven Wills	Citadel (W)	Oct. 22, 2016	North Georgia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spencer Brandon	Air Force	Oct. 23, 2016	Air Force	94	95	97	98	92	95	571	0	100	98	99	100	98	97	592	0
Spencer Cap	Air Force	Oct. 23, 2016	Air Force	98	96	100	100	92	97	583	0	99	99	97	98	99	100	592	0
Kyle Cox	Air Force	Oct. 23, 2016	Air Force	84	81	95	98	79	86	523	0	87	97	91	94	90	92	551	0
Ryan Jacobs	Air Force	Oct. 23, 2016	Air Force	100	98	100	99	97	94	588	0	98	99	99	100	100	99	595	0
Noah Kwock	Air Force	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nick Learn	Air Force	Oct. 23, 2016	Air Force	96	96	96	96	91	90	565	0	96	100	98	97	99	98	588	0
Logan Ogden	Air Force	Oct. 23, 2016	Air Force	97	98	97	99	93	97	581	0	98	99	98	98	99	100	592	0
Mary Simonton	Air Force	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anna Weilbacher	Air Force	Oct. 23, 2016	Air Force	96	95	98	100	93	91	573	0	99	98	99	100	99	97	592	0
Rachel Benesh	Nevada	Oct. 23, 2016	Air Force	91	91	97	96	96	93	564	0	99	98	98	98	96	97	586	0
Emily Capaul	Nevada	Oct. 23, 2016	Air Force	92	95	98	97	96	94	572	0	99	98	100	99	96	97	589	0
Jared Crews	Nevada	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maneva Gill	Nevada	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarah Jameson	Nevada	Oct. 23, 2016	Air Force	96	94	100	97	91	95	573	0	98	97	99	99	96	95	584	0
Eli Larimer	Nevada	Oct. 23, 2016	Air Force	97	97	98	97	91	95	575	0	97	96	97	95	97	98	580	0
Justin Nissen	Nevada	Oct. 23, 2016	Air Force	94	94	98	98	90	93	567	0	96	96	98	96	99	96	581	0
Jami Sexton	Nevada	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sara Tashima	Nevada	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitchell Van Patten	Nevada	Oct. 23, 2016	Air Force	98	97	99	99	97	94	584	0	98	99	98	99	100	97	591	0
Jessica Kinder	UTEP	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	98	98	97	96	99	97	585	0
Abby Monique	UTEP	Oct. 23, 2016	Air Force	95	98	97	99	92	94	575	0	99	98	97	97	98	97	586	0
Maranda Nelson	UTEP	Oct. 23, 2016	Air Force	95	93	95	98	90	91	562	0	93	93	94	93	97	92	562	0
Bailey Powell	UTEP	Oct. 23, 2016	Air Force	98	91	99	100	89	91	568	0	98	97	99	97	96	97	584	0
Mara Rouse	UTEP	Oct. 23, 2016	Air Force	95	96	95	97	89	86	558	0	99	95	98	96	98	97	583	0
Rachael Schoenrock	UTEP	Oct. 23, 2016	Air Force	95	94	98	97	96	96	576	0	98	98	98	99	99	94	586	0
Haylee Schoenrock	UTEP	Oct. 23, 2016	Air Force	96	94	94	99	91	98	572	0	97	92	95	94	91	97	566	0
Monthserrat Serna	UTEP	Oct. 23, 2016	Air Force	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deanna Binnie	Ohio State	Oct. 23, 2016	Ohio State	94	94	96	99	90	89	562	0	95	97	97	96	98	97	580	0
Josh Black	Ohio State	Oct. 23, 2016	Ohio State	95	98	99	99	95	97	583	0	96	98	98	96	100	97	585	0
Jacob Buchanan	Ohio State	Oct. 23, 2016	Ohio State	97	96	97	97	91	93	571	0	98	99	99	97	98	98	589	0
Drew Cheezum	Ohio State	Oct. 23, 2016	Ohio State	96	98	99	98	95	95	581	0	98	100	98	98	98	96	588	0
Anthony Cuozzo	Ohio State	Oct. 23, 2016	Ohio State	99	98	97	100	95	94	583	0	95	96	97	97	98	96	579	0
Kendal Elder	Ohio State	Oct. 23, 2016	Ohio State	96	95	100	99	93	94	577	0	95	96	95	97	97	99	579	0
Alli Kissell	Ohio State	Oct. 23, 2016	Ohio State	97	97	98	95	94	91	572	0	97	97	98	96	97	99	584	0
Mark Matheny	Ohio State	Oct. 23, 2016	Ohio State	94	94	99	100	95	93	575	0	98	98	97	99	95	97	584	0
Patrick Sardo	Ohio State	Oct. 23, 2016	Ohio State	92	93	96	96	83	90	550	0	89	95	94	94	92	95	559	0
Michael Steinel	Ohio State	Oct. 23, 2016	Ohio State	94	93	99	98	96	93	573	0	98	97	98	89	97	98	577	0
Chrissy Thomas	Ohio State	Oct. 23, 2016	Ohio State	95	93	98	99	88	89	562	0	96	98	96	99	97	98	584	0
Rhiann Travis	Ohio State	Oct. 23, 2016	Ohio State	96	94	99	98	95	93	575	0	98	99	98	100	100	99	594	0
Bailey Urbach	Ohio State	Oct. 23, 2016	Ohio State	93	93	95	99	93	90	563	0	96	94	96	90	99	94	569	0
Brendan Whitaker	Ohio State	Oct. 23, 2016	Ohio State	95	96	99	97	93	92	572	0	94	98	99	98	94	99	582	0
Quintin Wotring	Ohio State	Oct. 23, 2016	Ohio State	90	93	98	100	93	94	568	0	98	95	96	96	96	92	573	0
Jack Anderson	West Virginia	Oct. 23, 2016	Ohio State	94	90	100	98	93	94	569	0	97	96	97	97	93	99	579	0
Will Anti	West Virginia	Oct. 23, 2016	Ohio State	92	97	98	100	96	93	576	0	98	98	96	93	97	100	582	0
Milica Babic	West Virginia	Oct. 23, 2016	Ohio State	92	97	99	100	96	94	578	0	98	99	99	100	100	100	596	0
Noah Barker	West Virginia	Oct. 23, 2016	Ohio State	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabeth Gratz	West Virginia	Oct. 23, 2016	Ohio State	96	97	97	100	95	96	581	0	97	100	100	99	99	100	595	0
Jean-Pierre Lucas	West Virginia	Oct. 23, 2016	Ohio State	97	98	99	100	95	96	585	0	96	99	99	99	97	100	590	0
Morgan Phillips	West Virginia	Oct. 23, 2016	Ohio State	98	95	100	99	94	99	585	0	100	98	99	100	98	98	593	0
Ginny Thrasher	West Virginia	Oct. 23, 2016	Ohio State	98	96	100	100	100	96	590	0	100	100	100	100	99	100	599	0
Lauryn Cinadr	Akron	Oct. 23, 2016	Akron	90	90	94	93	87	90	544	10	97	95	93	98	97	99	579	32
Alex Fedorko	Akron	Oct. 23, 2016	Akron	89	88	98	97	85	85	542	11	87	94	93	91	90	94	549	13
Sydney Goldschlag	Akron	Oct. 23, 2016	Akron	99	94	98	96	90	88	565	23	95	94	95	96	96	98	574	24
Rebecca Green	Akron	Oct. 23, 2016	Akron	96	91	97	97	87	86	554	16	96	97	92	94	96	93	568	25
Julia Hatch	Akron	Oct. 23, 2016	Akron	96	96	98	98	93	96	577	30	97	96	94	98	94	95	574	23
Anthony Jackson	Akron	Oct. 23, 2016	Akron	98	96	100	100	94	92	580	34	93	99	97	100	99	96	584	32
Kera Kaufman	Akron	Oct. 23, 2016	Akron	91	95	96	95	87	86	550	13	96	96	94	95	94	94	569	27
Joshua Kovach	Akron	Oct. 23, 2016	Akron	91	90	97	98	90	94	560	14	98	96	96	100	98	95	583	38
Caleb Lloyd	Akron	Oct. 23, 2016	Akron	98	98	99	100	92	91	578	33	96	97	98	100	95	95	581	28
Danielle Makucevich	Akron	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	93	93	91	97	96	94	564	19
Kris Mantel	Akron	Oct. 23, 2016	Akron	90	90	92	92	89	84	537	11	95	96	93	94	95	93	566	20
Brent Morgan	Akron	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	90	93	92	94	88	90	547	12
Connor O'Mara	Akron	Oct. 23, 2016	Akron	90	95	98	96	86	92	557	19	98	99	98	97	99	98	589	36
Marlee Reynolds	Akron	Oct. 23, 2016	Akron	89	91	98	94	83	87	542	19	94	90	88	89	93	90	544	12
Sean Roehrs	Akron	Oct. 23, 2016	Akron	93	96	95	94	88	88	554	17	93	92	94	92	94	94	559	14
Zach Strohl	Akron	Oct. 23, 2016	Akron	96	100	99	100	90	96	581	36	98	96	98	98	98	100	588	35
Cierra Terrizzi	Akron	Oct. 23, 2016	Akron	94	90	99	98	91	94	566	26	95	86	92	96	94	96	559	20
Zach Eisenberg	North Carolina St.	Oct. 23, 2016	Akron	89	91	98	93	90	89	550	12	95	98	96	98	96	95	578	33
Caitlyn Ford	North Carolina St.	Oct. 23, 2016	Akron	98	96	95	97	91	94	571	25	94	98	93	94	93	96	568	23
Sarah Hickey	North Carolina St.	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lucas Kozeniesky	North Carolina St.	Oct. 23, 2016	Akron	96	97	97	98	92	94	574	27	97	100	100	99	100	99	595	51
Tyler Lefebvre	North Carolina St.	Oct. 23, 2016	Akron	87	93	92	94	88	92	546	14	93	93	96	93	96	97	568	22
Will Marciniak	North Carolina St.	Oct. 23, 2016	Akron	96	98	99	99	93	94	579	28	98	98	95	98	94	94	577	28
Derya Pekari	North Carolina St.	Oct. 23, 2016	Akron	94	92	98	98	89	91	562	20	99	100	98	98	96	97	588	37
Lauren Phillips	North Carolina St.	Oct. 23, 2016	Akron	93	95	98	95	96	97	574	27	96	98	100	99	99	99	591	41
Claire Spina	North Carolina St.	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cullen Wargo	North Carolina St.	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
George Williams	North Carolina St.	Oct. 23, 2016	Akron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Claire Zanti	North Carolina St.	Oct. 23, 2016	Akron	89	86	95	97	89	95	551	18	100	96	99	97	98	98	588	37
Allison Auten	Citadel	Oct. 29, 2016	Citadel	87	87	95	91	90	92	542	0	96	97	97	99	94	98	581	0
Matthew Davenport	Citadel	Oct. 29, 2016	Citadel	87	87	92	94	80	81	521	0	93	93	95	96	89	94	560	0
Joseph Ferguson	Citadel	Oct. 29, 2016	Citadel	79	87	93	93	86	74	512	0	92	92	93	90	97	92	556	0
Morgan Long	Citadel	Oct. 29, 2016	Citadel	86	75	94	95	91	90	531	0	95	96	96	97	96	92	572	0
Alexander McAlear	Citadel	Oct. 29, 2016	Citadel	87	90	94	96	86	86	539	0	97	96	97	96	96	93	575	0
Patrick Meyer	Citadel	Oct. 29, 2016	Citadel	89	84	98	98	83	79	531	0	92	91	90	92	94	94	553	0
Richie Parra	Citadel	Oct. 29, 2016	Citadel	88	89	95	97	91	92	552	0	95	93	95	96	93	93	565	0
Colton Poole	Citadel	Oct. 29, 2016	Citadel	91	99	96	95	93	93	567	0	96	95	94	94	96	94	569	0
Tommy Simrill	Citadel	Oct. 29, 2016	Citadel	87	85	93	92	84	71	512	0	90	88	89	86	95	94	542	0
Lucas Figi	Navy	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maggie Guetersloh	Navy	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amy Hammer	Navy	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daniel Jonas	Navy	Oct. 29, 2016	Citadel	96	97	99	99	94	95	580	0	99	98	97	98	99	96	587	0
Kestrel Kuhne	Navy	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alex Muzzioli	Navy	Oct. 29, 2016	Citadel	96	92	96	95	90	92	561	0	97	96	91	93	97	95	569	0
Brandon Pippin	Navy	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	99	92	93	96	95	95	570	0
Nash Richardson	Navy	Oct. 29, 2016	Citadel	97	97	99	97	92	95	577	0	0	0	0	0	0	0	0	0
Thomas Sarant	Navy	Oct. 29, 2016	Citadel	93	94	100	98	95	95	575	0	98	96	99	98	99	96	586	0
Josh Watson	Navy	Oct. 29, 2016	Citadel	95	94	98	99	92	94	572	0	96	97	93	98	96	98	578	0
Zach Eisenberg	North Carolina St.	Oct. 29, 2016	Citadel	95	95	98	99	91	93	571	0	96	98	97	99	98	96	584	0
Caitlyn Ford	North Carolina St.	Oct. 29, 2016	Citadel	94	91	97	97	94	91	564	0	98	97	97	98	97	96	583	6
Sarah Hickey	North Carolina St.	Oct. 29, 2016	Citadel	95	95	97	97	94	91	569	0	96	98	95	96	93	96	574	0
Lucas Kozeniesky	North Carolina St.	Oct. 29, 2016	Citadel	96	96	100	99	97	98	586	0	97	100	100	100	99	100	596	0
Tyler Lefebvre	North Carolina St.	Oct. 29, 2016	Citadel	91	94	97	97	90	89	558	0	98	96	97	96	95	96	578	0
Will Marciniak	North Carolina St.	Oct. 29, 2016	Citadel	93	97	99	97	89	90	565	0	97	96	96	96	99	92	576	0
Derya Pekari	North Carolina St.	Oct. 29, 2016	Citadel	96	94	100	97	91	89	567	0	99	98	94	99	96	99	585	0
Lauren Phillips	North Carolina St.	Oct. 29, 2016	Citadel	94	98	97	95	99	96	579	0	99	98	99	99	99	100	594	0
Claire Spina	North Carolina St.	Oct. 29, 2016	Citadel	89	89	92	96	92	90	548	0	94	99	98	95	97	96	579	0
Cullen Wargo	North Carolina St.	Oct. 29, 2016	Citadel	92	89	98	97	90	89	555	0	95	94	97	94	96	96	572	0
George Williams	North Carolina St.	Oct. 29, 2016	Citadel	91	93	94	96	84	87	545	0	94	95	95	89	96	97	566	0
Claire Zanti	North Carolina St.	Oct. 29, 2016	Citadel	95	93	97	94	94	97	570	0	97	99	96	97	96	97	582	0
Carli Cline	Citadel (W)	Oct. 29, 2016	Citadel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brandi Duzz	Citadel (W)	Oct. 29, 2016	Citadel	76	63	88	91	80	70	468	0	92	94	95	90	90	97	558	0
Leah Fenwrick-Wallace	Citadel (W)	Oct. 29, 2016	Citadel	85	86	89	92	83	89	524	0	89	95	95	93	95	93	560	0
Shadonna Littlejohn	Citadel (W)	Oct. 29, 2016	Citadel	82	79	85	90	55	65	456	0	90	93	93	86	86	93	541	0
Tierra Price	Citadel (W)	Oct. 29, 2016	Citadel	82	79	78	85	76	60	460	0	79	85	87	81	84	79	495	0
Faith Totherow	Citadel (W)	Oct. 29, 2016	Citadel	89	90	94	95	89	90	547	0	92	88	87	87	90	92	536	0
Raven Wills	Citadel (W)	Oct. 29, 2016	Citadel	81	84	89	89	80	74	497	0	86	83	90	87	94	85	525	0
Angelica Dearaujo	John Jay	Oct. 29, 2016	MIT	80	78	93	87	84	87	509	0	95	94	89	94	92	94	558	92
Lily Graham	John Jay	Oct. 29, 2016	MIT	92	92	95	97	91	91	558	0	92	95	95	91	96	97	566	0
Ronald Kopec	John Jay	Oct. 29, 2016	MIT	88	85	95	93	83	89	533	0	94	92	92	92	96	91	557	0
Eliza Kotowska	John Jay	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Susana Sanchez	John Jay	Oct. 29, 2016	MIT	76	65	85	79	75	69	449	0	84	90	90	91	87	88	530	0
Ida Sato	John Jay	Oct. 29, 2016	MIT	80	78	86	83	80	76	483	0	87	93	94	91	95	84	544	0
Marc Suda	John Jay	Oct. 29, 2016	MIT	83	85	92	95	80	75	510	0	87	89	87	89	88	88	528	0
William Caruso	MIT	Oct. 29, 2016	MIT	88	89	85	92	74	74	502	0	87	81	84	90	86	90	518	0
Efraim Helman	MIT	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yaakov Helman	MIT	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jesus Herrera	MIT	Oct. 29, 2016	MIT	94	92	87	84	67	74	498	0	82	87	88	88	90	85	520	0
Alexander Laiman	MIT	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	81	65	0	0	0	0	146	0
Gregory Lee	MIT	Oct. 29, 2016	MIT	88	88	91	90	80	79	516	0	88	91	94	89	96	82	540	0
Kelly Mathesius	MIT	Oct. 29, 2016	MIT	88	89	96	98	89	87	547	0	91	90	92	94	92	93	552	0
Elijah Miller	MIT	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	81	76	79	75	80	78	469	0
Dylan Modesitt	MIT	Oct. 29, 2016	MIT	90	91	96	93	72	82	524	0	88	88	80	91	84	92	523	0
Kevin Ng	MIT	Oct. 29, 2016	MIT	90	90	98	96	81	79	534	0	88	86	93	90	93	91	541	0
Alex Pacheco	MIT	Oct. 29, 2016	MIT	70	84	77	86	74	64	455	0	76	90	86	86	75	72	485	0
Kevin Petrovic	MIT	Oct. 29, 2016	MIT	84	86	90	94	57	71	482	0	80	77	80	80	80	81	478	0
Thomas Rick	MIT	Oct. 29, 2016	MIT	69	76	89	88	69	55	446	0	79	87	82	88	92	76	504	0
Joel Solis	MIT	Oct. 29, 2016	MIT	0	0	0	0	0	0	0	0	88	84	90	85	88	88	523	0
Seth Baker	Morehead St.	Oct. 29, 2016	Morehead St.	94	96	96	99	94	92	571	0	96	97	94	99	95	95	576	0
Brandon Bryer	Morehead St.	Oct. 29, 2016	Morehead St.	96	96	97	98	87	93	567	0	92	98	96	96	98	97	577	0
Siarra Crum	Morehead St.	Oct. 29, 2016	Morehead St.	91	91	96	97	93	89	557	0	95	97	98	97	99	98	584	0
Sarah Fink	Morehead St.	Oct. 29, 2016	Morehead St.	97	96	99	99	89	93	573	0	99	97	95	95	94	96	576	0
