Date	School Name	Location	Team Type	Team SB Total	Team SB Center	Team AR Total	Team AR Center	Team Squad Total	Team Center Total
01/22/2017	West Virginia	Morgantown	Mixed	2344	0	2366	0	4710	0
02/11/2017	West Virginia	Lexington	Mixed	2336	0	2382	0	4718	0
02/12/2017	West Virginia	Lexington	Mixed	2345	0	2381	0	4726	0
02/18/2017	West Virginia	Morgantown	Mixed	0	0	0	0	0	0
10/08/2016	Wofford	Spartanburg	Mixed	0	0	2190	0	2190	0
11/05/2016	Wofford	Charleston	Mixed	2077	0	2181	0	4258	0
11/12/2016	Wofford	Lexington	Mixed	2089	0	2179	0	4268	0
11/19/2016	Wofford	Unkown	Mixed	2133	41	2184	68	4317	109
01/28/2017	Wofford	Charleston	Mixed	2105	0	2187	0	4292	0
02/04/2017	Wofford	Spartanburg	Mixed	0	0	2203	0	2203	0
02/11/2017	Wofford	Spartanburg	Mixed	2100	0	2210	0	4310	0
02/18/2017	Wofford	Lexington	Mixed	0	0	0	0	0	0
03/04/2017	Wofford	Charleston	Mixed	0	0	0	0	0	0
